gene	zcount_DGC1	zcount_DGC2	zcount_DGC3	zcount_DGH1	zcount_DGH2	zcount_DGH3	zcount_dugill1	zcount_dugill2	zcount_dugill3	zcount_WGC1	zcount_WGC2	zcount_WGC3	zcount_WGH1	zcount_WGH2	zcount_WGH3	zcount_wtgill1	zcount_wtgill2	zcount_wtgill4
LOC110439710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
