gene	zcount_A1	zcount_A2	zcount_A3	zcount_A4	zcount_A5	zcount_A6
pgm2_1	61.0708418081944	58.6081159255967	44.2239087772353	47.4496382474588	68.0196111352676	52.4264255324218
pgm2l1	0	0	0	0	0	0
pgm3	0	0	0	0	0	0
pgm5	0	0	0	0	0	0
pgm5_1	4.63587774443565	4.47506438300785	2.26558167233686	5.12137485508302	5.01687946978356	3.54612270262242
pgp	0	0	0	0	0	0
pgp_1	86.7399995852994	53.5280877587264	73.4261693053363	58.2794737488188	72.6365451076113	99.5250625808946
pgpep1	0	0	0	0	0	0
pgpep1l	0	0	0	0	0	0
pgpep1l_1	61.3828335118594	82.8616326636943	57.1618565258325	72.3654646535286	82.1191709980578	64.3301025964719
pgpep1l_2	76.9046553561014	67.2133069807148	78.7683869290953	122.81436872403	122.595056760041	73.4452989552585
pgr	0	0	0	0	0	0
pgrmc1	0	0	0	0	0	0
pgrmc2	0	0	0	0	0	0
pgrmc2_1	307.145624100585	331.828909212729	252.525554499901	293.762479616826	291.631865357491	294.651419157162
pgs1	0	0	0	0	0	0
phactr1	0	0	0	0	0	0
phactr2	0	0	0	0	0	0
phactr3a	0	0	0	0	0	0
phactr3b	0	0	0	0	0	0
phactr4a	0	0	0	0	0	0
phactr4b	0	0	0	0	0	0
phax	0	0	0	0	0	0
phb	0	0	0	0	0	0
phb2a	0	0	0	0	0	0
phb2b	0	0	0	0	0	0
phb2b_1	176.649295351913	155.956150109263	142.383865640923	173.625281065555	167.271385927542	143.217760639665
phb2b_2	26.7000623099105	54.0362459540372	37.1956756051351	66.052463453859	51.8106825243102	22.888610171472
phc1	0	0	0	0	0	0
phc2a	0	0	0	0	0	0
phc2a_1	100.257516967306	78.6106783901302	83.2015338289226	88.5073301527533	90.5849487022557	113.949761845044
phc2b	0	0	0	0	0	0
phc3	0	0	0	0	0	0
phex	0	0	0	0	0	0
phf1	0	0	0	0	0	0
phf10	0	0	0	0	0	0
phf11	0	0	0	0	0	0
phf11_1	40.6425386255654	48.4054094548794	45.8790139003311	52.4502134774794	36.7555494139853	79.6921696752816
phf12a	0	0	0	0	0	0
phf12b	0	0	0	0	0	0
phf12b_1	62.7621412769976	88.5543062939463	33.7625263583344	77.4981603118173	46.3696323524024	72.9875938973305
phf13	0	0	0	0	0	0
phf14	0	0	0	0	0	0
phf19	0	0	0	0	0	0
phf2	0	0	0	0	0	0
phf20a	0	0	0	0	0	0
phf20a_1	23.388632365416	24.6509310496008	16.4829876106338	27.9449950921456	22.9209732652722	27.6422373525554
phf20b	0	0	0	0	0	0
phf20b_1	160.408006812926	187.83817731133	90.2153250972599	177.743567252968	162.866618613335	153.952126240793
phf20b_2	145.542819022267	171.29401190404	80.718975087022	154.559623698233	150.564879182889	149.827413227825
phf20l1	0	0	0	0	0	0
phf21aa	0	0	0	0	0	0
phf21ab	0	0	0	0	0	0
phf21b	0	0	0	0	0	0
phf23a	0	0	0	0	0	0
phf23a_1	280.241334639013	264.151643502095	238.585987318981	252.980559623543	309.481348172173	227.420033873671
phf23b	0	0	0	0	0	0
phf24	0	0	0	0	0	0
phf3	0	0	0	0	0	0
phf5a	0	0	0	0	0	0
phf5a_1	163.444896827826	279.288215666436	326.566971370586	264.065079673852	276.554620538713	318.085747115477
phf6	0	0	0	0	0	0
phf6_1	84.2338020904537	94.9760626214018	85.7413093394553	116.019489451798	108.147321888478	85.7835474910363
phf8	0	0	0	0	0	0
phgdh	0	0	0	0	0	0
phip	0	0	0	0	0	0
phip_1	6.5721816168641	3.21585313472436	2.27045640697912	10.8685995922152	8.03201582725826	12.7415036224357
phka1a	0	0	0	0	0	0
phka1b	0	0	0	0	0	0
phka2	0	0	0	0	0	0
phkb	0	0	0	0	0	0
phkb_1	118.38467389021	94.7697091362512	38.3936844719473	69.713181033897	51.3043023967578	148.888996288254
phkg1a	0	0	0	0	0	0
phkg1a_1	10.8875192752695	5.74950263816142	3.12988055426811	16.2936150292154	11.955584347547	3.49049217500011
phkg1b	0	0	0	0	0	0
phkg2	0	0	0	0	0	0
phlda1	0	0	0	0	0	0
phlda2	0	0	0	0	0	0
phlda2_1	153.337707241655	175.395075445293	243.36929607946	205.786813196347	255.932287168279	145.604652657075
phlda3	0	0	0	0	0	0
phldb1a	0	0	0	0	0	0
