gene	zcount_h-brain-1_S11	zcount_h-brain-2_S12	zcount_h-brain-3_S13	zcount_h-testis-1_S16	zcount_h-testis-2_S17	zcount_n-testis-1_S33	zcount_n-testis-2_S34	zcount_n-testis-3_S35	zcount_wt-brain_S44
rxfp3.2b_1	25.4823715370566	24.9553040620666	46.0497564737722	1.74915403762169	0	1.37818682857194	1.47443240314956	0.860807497129647	71.9701510498094
rxfp3.3a1	0	0	0	0	0	0	0	0	0
rxfp3.3a2	0	0	0	0	0	0	0	0	0
rxfp3.3a3	0	0	0	0	0	0	0	0	0
rxfp3.3a3_1	10.8733263451945	5.30873597887824	13.8051681316793	2.85717437640989	0.652513819378332	2.10113308526279	3.53236016234902	1.40609521569895	10.7483806371331
rxfp3.3a3_2	9.17436910375785	5.30873597887824	13.0972107915932	2.5714569387689	0.326256909689166	1.80097121593954	3.21123651122638	1.40609521569895	10.0766068473123
rxfp3.3b	0	0	0	0	0	0	0	0	0
rxraa	0	0	0	0	0	0	0	0	0
rxrab	0	0	0	0	0	0	0	0	0
rxrba	0	0	0	0	0	0	0	0	0
rxrbb	0	0	0	0	0	0	0	0	0
rxrbb_1	41.9148608396672	51.4067656560404	88.6268195475811	129.113805287045	118.743594832043	193.930181395672	192.177519426513	116.090220677899	159.169186061759
rxrga	0	0	0	0	0	0	0	0	0
rxrgb	0	0	0	0	0	0	0	0	0
rybpa	0	0	0	0	0	0	0	0	0
rybpb	0	0	0	0	0	0	0	0	0
ryk	0	0	0	0	0	0	0	0	0
ryr1a	0	0	0	0	0	0	0	0	0
ryr1a_1	2.4475672343213	4.09709973880099	6.02026632799315	23.9535813535085	19.5186866433612	8.52832124653004	32.1263941053229	23.5201828286823	3.15871616419462
ryr1b	0	0	0	0	0	0	0	0	0
ryr2a	0	0	0	0	0	0	0	0	0
ryr2b	0	0	0	0	0	0	0	0	0
ryr2b_1	0.403302839820138	0.225035964489447	1.05035458943778	31.3687573583686	27.1066965329048	21.3759589737689	45.356349163553	26.535708661517	1.79400813841362
ryr2b_2	0	0.115243202119928	0.161369174730977	7.55454347726797	6.14757213505877	7.38912078842346	10.5401859848243	8.24753686108114	0.0510405434203609
ryr3	0	0	0	0	0	0	0	0	0
ryroxd1	0	0	0	0	0	0	0	0	0
s100a1	0	0	0	0	0	0	0	0	0
s100a10a	0	0	0	0	0	0	0	0	0
s100a10b	0	0	0	0	0	0	0	0	0
s100a11	0	0	0	0	0	0	0	0	0
s100b	0	0	0	0	0	0	0	0	0
s100s	0	0	0	0	0	0	0	0	0
s100t	0	0	0	0	0	0	0	0	0
s100u	0	0	0	0	0	0	0	0	0
s100v2	0	0	0	0	0	0	0	0	0
s100w	0	0	0	0	0	0	0	0	0
s100z	0	0	0	0	0	0	0	0	0
s1pr1	0	0	0	0	0	0	0	0	0
s1pr1_1	500.056627186188	498.854651085163	650.413222995203	59.0222704415878	54.9815501930775	42.1921469150645	39.1533993346747	56.5642481311201	618.996689348131
s1pr1_2	530.139189454908	502.0939670013	655.086521723401	59.6879351458162	55.7416637902167	42.6583584831867	39.1533993346747	57.2194324724072	622.387737372373
s1pr2	0	0	0	0	0	0	0	0	0
s1pr3a	0	0	0	0	0	0	0	0	0
s1pr3a_1	4.18837970235414	6.42686816330375	6.54488400523686	15.4080757792601	23.6265979410227	18.9619498138002	13.8539603094927	12.1323902749358	7.76297045596136
s1pr4	0	0	0	0	0	0	0	0	0
s1pr5a	0	0	0	0	0	0	0	0	0
s1pr5b	0	0	0	0	0	0	0	0	0
saa	0	0	0	0	0	0	0	0	0
saal1	0	0	0	0	0	0	0	0	0
saal1_1	3.96266045479527	27.3371814362077	16.8877323833043	6.36118128525701	115.528175900396	114.243552958029	89.8789419086582	87.654413418655	47.3616072142886
sacm1la	0	0	0	0	0	0	0	0	0
sacm1lb	0	0	0	0	0	0	0	0	0
sacs	0	0	0	0	0	0	0	0	0
sae1	0	0	0	0	0	0	0	0	0
safb	0	0	0	0	0	0	0	0	0
safb_1	196.326271259675	231.562007459642	177.918755939797	276.480705708226	93.4868260809838	284.818210280106	280.573144531644	81.90252255382	443.363811294153
saga	0	0	0	0	0	0	0	0	0
sagb	0	0	0	0	0	0	0	0	0
sall1a	0	0	0	0	0	0	0	0	0
sall1a_1	34.274798962101	52.5256976982901	59.4678675502972	7.50952725593516	10.4290886524912	8.84866483168224	12.5461105417282	7.99058995009065	49.6284283160066
sall1b	0	0	0	0	0	0	0	0	0
sall2	0	0	0	0	0	0	0	0	0
sall2_1	38.4526695371869	47.7697847556603	93.5050628983275	14.7286720667918	14.0319804954425	4.48633544545621	24.1940953425904	14.6683403400746	28.0726728045935
sall3a	0	0	0	0	0	0	0	0	0
sall3a_1	14.6431819115563	30.0195388656514	21.9213889462735	6.74928412373472	7.91521206653457	9.3901134990103	11.1734691837214	8.5282039149763	17.5843432308839
sall3b	0	0	0	0	0	0	0	0	0
sall4	0	0	0	0	0	0	0	0	0
samd10a	0	0	0	0	0	0	0	0	0
samd10a_1	17.6178660357279	16.1656495773712	21.2084427817497	2.6336319283436	6.01461794767851	3.1126219505672	1.4799962990105	1.62010467620155	28.251679105496
samd10b	0	0	0	0	0	0	0	0	0
samd10b_1	13.7976981051627	14.1604314872411	45.9447921274017	6.00815199960041	7.68863502984086	2.72064389768555	8.61549399077653	5.09789518139812	28.2525215955674
samd11	0	0	0	0	0	0	0	0	0
samd11_1	45.3346184756474	39.3492213145984	69.0638164436714	18.0353259305911	21.8424359689578	26.4111104689214	33.4766586506799	31.602824968035	41.2799820958754
samd12	0	0	0	0	0	0	0	0	0
samd13	0	0	0	0	0	0	0	0	0
samd14	0	0	0	0	0	0	0	0	0
samd1a	0	0	0	0	0	0	0	0	0
samd1b	0	0	0	0	0	0	0	0	0
samd4a	0	0	0	0	0	0	0	0	0
samd4b	0	0	0	0	0	0	0	0	0
samd7	0	0	0	0	0	0	0	0	0
samhd1	0	0	0	0	0	0	0	0	0
samm50	0	0	0	0	0	0	0	0	0
samm50l	0	0	0	0	0	0	0	0	0
samsn1a	0	0	0	0	0	0	0	0	0
samsn1b	0	0	0	0	0	0	0	0	0
sap130a	0	0	0	0	0	0	0	0	0
sap130a_1	58.494321333979	62.9916393235734	80.6165389383623	51.4822080471592	61.6278426732196	36.7938090171252	68.4018033551816	42.0066190157795	42.9728903736349
sap130a_2	15.0549152053196	13.7460773940865	14.7329839714807	15.3443560500782	12.7030979098322	36.4717019320766	26.2998975890488	20.0111720137054	22.3228781077725
sap130a_3	56.2182777023067	60.9596509582968	77.5341418613073	43.2527101065353	60.3166119780448	36.5927499514579	65.1753031969184	40.8763960826195	31.7234426318456
sap130b	0	0	0	0	0	0	0	0	0
sap18	0	0	0	0	0	0	0	0	0
